Max_Frechet,Max_Gumbel,Max_Weibul
2.782329843002386,4.55940325082158,0.9192299519357598
2.062339856379886,5.259852806761159,0.9235866883318964
1.8795923815052544,5.574511814577726,0.9204139826136628
1.7914410483567016,5.083221877421721,1.0143493273465034
1.7222263396039028,3.67719973314609,1.0363786380616562
1.832029064883154,4.074149485957844,1.038036174163702
2.2642092037090777,4.496559848651424,1.0430745061226208
1.7896244763499844,4.500882293142425,1.0457970899560445
1.768657259035545,4.233536138627079,1.037141225107271
2.196991091044913,2.6346999329648475,1.0464351637195972
2.001133357704631,4.010058608986725,1.0295628224853242
1.5677329342275395,3.7349900376588403,1.0418002612482673
2.7547572640831004,4.684234910468389,1.0328697540439569
2.310351423688801,5.229449913187844,0.9264116694438245
2.315374622341889,3.7862884928305918,0.9298569492137296
1.5805895190667154,4.234577291408309,0.9237918578353492
2.0450343004064084,3.0440072547829047,0.9296542082305315
1.9865527439778632,2.877317415299729,0.9058252219547056
1.8340697621529958,3.803676634114366,0.9276132951202494
2.1544994994041167,4.185797322793209,0.9230896019066042
1.8335307394983842,3.123857793406545,0.8920493260340696
1.6976287566147652,6.2659368469629335,0.9298473629951369
2.3895942795638008,3.422883699778307,0.8846772268287979
2.2551130973233153,5.5380673154633655,0.9061772142003603
1.6125959135545056,3.532491088573575,0.9235116488773198
1.8421690521130498,3.627890160030458,0.9006668665263857
1.5987908460529296,4.262926123519165,0.9280616016215442
2.145482394677952,3.9443718792348457,0.9274838524142512
1.833083695520449,4.7599789369202705,0.926859749511787
1.7857003724315235,7.213931849719017,0.9200810043617254
1.8127991697075883,5.6455185774112655,0.9171637508667989
2.677924002531781,3.9711316720614693,0.915143587547643
1.7774244931152512,3.76208886967929,0.8912322024183217
2.0120390300461177,4.607421162724635,0.9258168674541141
2.1147810610628173,6.970851244862354,0.9256299670802335
1.590180381117704,4.092361121978362,0.9173962232435726
2.1096002638175357,3.7282302742813123,0.8692565069671785
1.6539824175371582,4.377122735713625,0.9062239993898467
1.919709903604822,4.621888544140273,0.9261302774898874
1.7861230867620825,5.356082878716064,0.8909719068430055
2.2763387333184566,5.223158100839171,0.8910951597960846
1.9622051261759672,2.768129513691862,0.9247382640640702
2.4254009291135366,5.027088965132322,0.9166711579974123
1.7213497821369863,6.065554454733387,0.9042461861435649
2.1650230274048337,5.629513271030641,0.9164566798751863
2.402328406228488,6.415077725346028,0.9288419389414593
1.9048354366685418,5.853268301167078,0.8993866712646661
1.662257344111075,2.8109490476336254,0.9167589170081112
1.5820864625421853,0.8235650623655243,0.9205635467561875
1.5231271391654069,0.6818051167279858,0.9297067530373577
